CountryOrTerritory,Namespace,Network,ResponsibleParty,TimeZone,StationName,EoICode,StationType,StationArea,Pollutant,SamplingPointId,Latitude,Longitude,Altitudee,MeasurementRegime,OperationalActivityBegin,OperationalActivityEnd,Sample,SamplingProcess,MeasurementEquipment,MeasurementMethod,SamplingEquipment,AnalyticalTechnique,envelope
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,ARETA,ES1350A,Industrial,Suburban,Particulate matter < 10 µm (aerosol),SP_01036005_10_49,43.14805555,-2.94333333,114,Continuous data collection,2003-03-03T00:00:00Z,2013-01-21T00:00:00Z,SAM_01036005_10_49,SPP_01036005_10_49.1,Unknown,Beta ray attenuation,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Com. Valenciana,"CONSELLERIA DE AGRICULTURA, MEDIO AMBIENTE, CAMBIO CLIMATICO Y DESARROLLO RURAL (VALENCIA)",UTC,ALACANT-EL PLÁ,ES1635A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SP_03014006_10_M,38.35944444,-0.47194444,45,Continuous data collection,2002-10-01T00:00:00Z,,SAM_03014006_10_M,SPP_03014006_10_M.1,,,,Gravimetric analysis,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Com. Valenciana,"CONSELLERIA DE AGRICULTURA, MEDIO AMBIENTE, CAMBIO CLIMATICO Y DESARROLLO RURAL (VALENCIA)",UTC,BENIDORM,ES1675A,Background,Suburban,Nitrogen monoxide (air),SP_03031002_7_8,38.57138888,-0.14666666,44,Continuous data collection,2016-03-30T00:00:00Z,,SAM_03031002_7_8,SPP_03031002_7_8.2,Unknown,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Com. Valenciana,"CONSELLERIA DE AGRICULTURA, MEDIO AMBIENTE, CAMBIO CLIMATICO Y DESARROLLO RURAL (VALENCIA)",UTC,ELX-AGROALIMENTARI,ES1624A,Background,Suburban,Benzo(a)anthracene in PM10 (aerosol),SP_03065006_99_M,38.24222222,-0.68277777,44,Continuous data collection,2009-01-01T00:00:00Z,,SAM_03065006_99_M,SPP_03065006_99_M.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,EL BOTICARIO,ES1786A,Background,Suburban,Ozone (air),SP_04013005_14_6,36.86495,-2.3905,55,Continuous data collection,2005-06-08T00:00:00Z,,SAM_04013005_14_6,SPP_04013005_14_6.1,Unknown,Ultraviolet (UV) photometry,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,PZA. DEL CASTILLO,ES1845A,Industrial,Urban,indeno_123cd_pyrene in PM10 (aerosol),SP_04032005_95_M,36.99678,-1.89535,5,Continuous data collection,2009-01-01T00:00:00Z,,SAM_04032005_95_M,SPP_04032005_95_M.2,,,,High performance liquid chromatography - mass spectrometry (HPLC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,PALOMARES,ES1547A,Industrial,Rural,Nitrogen oxides (air),SP_04035002_12_8,37.25497,-1.78174,11,Continuous data collection,2000-09-01T00:00:00Z,,SAM_04035002_12_8,SPP_04035002_12_8.1,Unknown,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,EL EJIDO,ES1549A,Background,Urban,o-Xylene (air),SP_04902001_39_I,36.76972,-2.81097,97,Continuous data collection,2009-01-01T00:00:00Z,,SAM_04902001_39_I,SPP_04902001_39_I.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,EL EJIDO,ES1549A,Background,Urban,"m,p-Xylene (air)",SP_04902001_431_I,36.76972,-2.81097,97,Continuous data collection,2009-01-01T00:00:00Z,,SAM_04902001_431_I,SPP_04902001_431_I.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Extremadura,"CONSEJERIA DE MEDIO AMBIENTE Y RURAL, POLITICAS AGRARIAS Y TERRITORIO (JUNTA DE EXTREMADURA)",UTC,BADAJOZ,ES1601A,Background,Urban,Carbon monoxide (air),SP_06015001_6_48,38.88763,-7.01145,390,Continuous data collection,2001-05-31T00:00:00Z,,SAM_06015001_6_48,SPP_06015001_6_48.1,DASIBI 3008 CO analyser,Non-dispersive infrared spectroscopy (NDIR),,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,S'ALBUFERA,ES1093A,Background,Rural,Dibenzo(ah)anthracene in PM10 (aerosol),SP_07003001_94_M,39.78995,3.07413,6,Continuous data collection,2014-01-01T00:00:00Z,,SAM_07003001_94_M,SPP_07003001_94_M.1,,,,High performance liquid chromatography - mass spectrometry (HPLC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,CAN MISSES,ES1246A,Industrial,Urban,Particulate matter < 10 µm (aerosol),SP_07026001_10_49,38.9138,1.4143,25,Continuous data collection,2000-01-01T00:00:00Z,2018-10-08T00:00:00Z,SAM_07026001_10_49,SPP_07026001_10_49.1,Thermo model 5030 SHARP Particular Monitor with PM10 & PM2.5 heads,Beta ray attenuation,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
